name,brand,detail,strong,cat1,cat2,wc,ingredients
kahwa-1,Boadicea the Victorious,Inspired by the Arabs' love of kahwa (meaning coffee in Arabic)  this perfume is the ultimate example of tradition fused with a contemporary twist and will instantly transport you to a moment of relaxation.,Eau de Parfum,WOODY,WOODY,Woods Classical,"['White Oud', 'Rose (Bulgaria)', 'Cardamom', 'Cedarwood', 'Coffee', 'Neroli', 'Jasmine (Sambac)', 'Amber', 'Bay', 'Clove', 'Eucalyptus', 'Moss', 'Patchouli', 'Saffron']"
lovely-apple-1,Avon,A multi-fruity scent with all summer freshness  perfect on its own or combined with Scent Mix Tutti Frutti.,,FLORAL,FRUITY,Fruity Crisp,"['Green Apple', 'Cedarwood', 'Ivy']"
golden-dynastie-1,Marina de Bourbon,A fragrance that evokes the opulent life of a rich and prestigious dynasty  characterised by a deliciously intoxicating blend of mature notes united by the delicate essence of rose. An extremely refined  luxurious and sun-drenched fragrance  dominated by its glorious past. An opulent fragrance for a queen or a princess.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Violet', 'Green Apple', 'Musk', 'Hyacinth', 'Rose', 'Orange', 'Cedarwood', 'Sandalwood']"
soleil-de-provence-1,L'Artisan Parfumeur,Inspired by the sun-drenched landscapes of Provence  Soleil de Provence asserts itself like a warm smile with a sparkling freshness. Signed by the Master Perfumer Daphné Bugey  the fragrance first presents itself as an homage to the mimosa flower and its bright yellow colour that guides the road stretching from Bormes le Mimosas to Grasse. This ‘winter sun’ offers its green  floral and powdered notes with honeyed and woody facets to this luminous scent. Yellow comes up again with the sparkling freshness of lemon and bergamot. Sunshine is at the heart of Soleil de Provence  with the sun-soaked ylang-ylang flower and the heat emanating from the balmy notes of benjoin and vanilla. A joyous fragrance that remains close to its ingredients and embraces a southern art of living.,Eau de Parfum,FLORAL,CITRUS,Soft Floral Fresher Citrus,"['Lemon', 'Mimosa', 'Benzoin', 'Solar Notes', 'Ylang-ylang', 'Bergamot', 'Musk', 'Vanilla']"
obscuratio-1,L'Artisan Parfumeur,The lure of Ylang-ylang among the treetops.,Eau de Parfum,CHYPRE,FLORAL,Woods Classical,"['Patchouli (Indonesia)', 'Ylang-ylang', 'Vanilla (Bourbon)', 'Cedarwood', 'Freesia', 'Ambergris']"
narciso-rodriguez-all-of-me-2,Narciso Rodriguez,All of Me is a multi-faceted fragrance created for a special generation of women who confidently embrace all that makes them unique  their beauty  their grace and their power.,Eau de Parfum,FLORAL,MUSK SKIN,Floral Amber Fresher White Flower,"['Rose Centifolia', 'Musk', 'Iris / Orris', 'Geranium', 'Sandalwood', 'Amber', 'Magnolia', 'Tuberose']"
police-potion-for-her-1,Police,This sensual elixir envelops you like an intense embrace and seduces you with its warm forbidden notes.,,FLORAL,CITRUS,Floral Fresher Gourmand,"['Magnolia', 'Red Apple', 'Salty Caramel', 'Orange Blossom', 'Rose Damascena', 'Bergamot', 'Amber', 'Moss', 'Peach', 'Pink Pepper', 'Vanilla', 'Benzoin (Laos)']"
far-away-rebel-diva-1,Avon,Unleash your confidence  showcase your multifaceted talents and bring to life your irresistible charm with Far Away Rebel & Diva.,,FLORAL,FLORAL,Floral Crisp Gourmand,"['Magnolia', 'Lychee', 'Salty Caramel', 'Pink Pepper', 'Popcorn']"
brazilian-crush,Sol De Janeiro,One of our essential beauty secrets is being cheirosa (sheh-rō-zah)  which means to always smell incredibly delicious from sunrise to sundown. Brazilian Crush  our Body Fragrance Mist  instantly transports you to the sultry beaches of Rio de Janeiro.,,AMBERY (ORIENTAL),CITRUS,Amber Fresher Gourmand,"['Vanilla', 'Almond', 'Salty Caramel', 'Heliotrope', 'Jasmine', 'Pistachio', 'Sandalwood']"
volare-gold,Oriflame,Volare Gold is a modern interpretation of the rose  with the fragrance opening with bright  succulent notes before leading into a supreme heart  before evoking a deliciously gourmand drydown that enchants.,,FLORAL,FLORAL,Floral Crisp Gourmand,"['Rose', 'Peach', 'Salty Caramel']"
scandal-le-parfum-1,Jean Paul Gaultier,How about we get rid of good manners? Once and for all! Scandal le Parfum is making its debut and it should be quite sensational. Be aware: the emotion will be strong  the fun  complete. A thunderstorm. An intense eau de parfum that is scared of nothing. Absolutely nothing. A scandalous red that loves to offend. Spectacular legs that turn heads. The audience is bowled over. Upset. In a single spray. What a wake! And what an outrage! From the great Gaultier.,Eau de Parfum,AMBERY (ORIENTAL),FLORAL,Floral Amber Classical,"['Vanilla', 'Jasmine (Sambac)', 'Salty Caramel', 'Tuberose', 'Dreamwood (Sandalwood)', 'Bergamot', 'Mandarin', 'Blackcurrant', 'Musk']"
sol-cheirosa-62,Sol De Janeiro,“In Brazil  everywhere you look you’re surrounded by natural beauty. But the most amazing thing is how Brazil makes me feel – happy and full of life.” - Jerome Epinette  Perfumer,,FLORAL,ALDEHYDIC,Soft Floral Fresher Gourmand,"['Heliotrope', 'Pistachio', 'Salty Caramel', 'Jasmine', 'Almond', 'Sandalwood', 'Vanilla']"
vicious-cacao,Maison Tahité,Vicious Cacao is an emotional trip down memory lane  as well as a soft and intriguing caress on the skin. A fragrance that thrives on contrasts.,,CHYPRE,GOURMAND,Mossy Woods Crisp Gourmand,"['Cocoa', 'Oakmoss', 'Raspberry', 'Pink Pepper', 'Rum', 'Salty Caramel', 'Amber', 'Benzoin', 'Jasmine', 'Narcissus', 'Saffron', 'Sandalwood']"
mauboussin-pour-lui-in-black,Mauboussin,Pour Lui en Noir is a sensual and powerful eau de parfum that plays with the codes of virility and seduction signed by Mauboussin Parfums.,Eau de Parfum,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp,"['Guaiac Wood', 'Salty Caramel', 'Violet', 'Cedarwood (Virginia)', 'Benzoin', 'Mandarin', 'Mint', 'Caramel', 'Clary Sage', 'Patchouli (Indonesia)']"
changing-constance-7,Penhaligon's,Sister to Lady Blanche  Constance is what one would call a very modern woman. Her fresh and spicy entrance hits an immediately intriguing (disobedient??) note. Constance oozes with an attitude of laissez-faire.,Eau de Parfum,AMBERY (ORIENTAL),CITRUS,Woody Amber Fresher Gourmand,"['Vanilla', 'Cardamom', 'Salty Caramel', 'Cashmeran (Woody musky)', 'Tobacco Leaf', 'Leaves']"
2am-kiss-1,Derek Lam 10 Crosby,"Late night on Crosby Street. A beautiful  passionate  allencompassing first kiss. The smell of salty caramel blended with sweet amber creates an irresistible slightly intoxicating and 
addictive experience. A kiss you won't forget.",Eau de Parfum,AMBERY (ORIENTAL),CITRUS,Soft Amber Crisp Gourmand,"['Amber', 'Woody Notes', 'Salty Caramel']"
sunset-hour-1,Goldfield & Banks,As a blazing sun dips into the Indian Ocean  the scent of fragrant native fruit pervades the languorous evening breeze. A heavenly cocktail of citrus and spicy delights awaits  giving way to a deliciously gourmand and sensuous floral heart  best served at sunset hour.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Gourmand,"['Ginger', 'Peach', 'Praline', 'Jasmine (Sambac)', 'Benzoin', 'Vanilla (Madagascar)', 'Cashmeran (Woody musky)', 'Mandarin', 'Pear', 'Pink Pepper', 'Raspberry', 'Salty Caramel', 'Sandalwood (Australia)']"
petit-attitude-happy-bug,Avon,For girls who like to live life to the fullest. Their joys and dreams represented in Petit Happy Bug.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Fruity,"['Jasmine', 'Vanilla', 'Cherry', 'Rose', 'Water Lily', 'Amber', 'Kiwi', 'Mandarin', 'Sandalwood', 'Salty Caramel', 'Blackcurrant Leaves']"
brazilian-crush-cheirosa-62,Sol De Janeiro,This scent is like a blend of the best summer you ever had and the best summer you’re about to have.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Gourmand,"['Pistachio', 'Vanilla', 'Salty Caramel', 'Heliotrope', 'Jasmine', 'Almond', 'Sandalwood']"
mystic-incense,The Merchant of Venice,The Mystic Incense fragrance is inspired by the Muda d'Egitto. The Muda d'Egypt  from Venice to the Egyptian cities of Damietta and Alexandria. This is where the Incense Route began. From this Muda came raw materials such as frankincense  fragrant cypress  myrrh  jasmine  white nigella  etc.,Eau de Parfum,AMBERY (ORIENTAL),FLORAL,Soft Amber Classical,"['Incense / Olibanum', 'Cocoa', 'Salty Caramel', 'Woody Notes', 'Dried Fruits']"
221-tigre-deau,Pierre Guillaume Paris,Tigre d'Eau is the olfactory allegory of a white tiger stretched out in fresh grass.,,AROMATIC FOUGERE,CITRUS,Aromatic Fougère Crisp Citrus,"['Coconut Milk', 'Fern', 'Salty Caramel', 'Grapefruit', 'Spearmint', 'Pink Pepper', 'Tonka Bean']"
tero-1,Nishane,This perfume is dedicated to the world in which we all live  and we invite you to feel the earthy aromas that dominate the fragrance.,Eau de Parfum,AMBERY (ORIENTAL),GOURMAND,Amber Crisp Gourmand,"['Amber', 'Salty Caramel', 'Cinnamon', 'Sichuan Pepper', 'Black Pepper', 'Oak', 'Patchouli', 'Vetiver (Haiti)']"
chill-1,Wild Spirit,The free-spirited dreamer. A believer in wanderlust  spontaneity  dream catchers  horoscopes with a bohemian style and tattoos that tell her story.,Eau de Parfum,FLORAL,FRUITY,Fruity Crisp Gourmand,"['Apple', 'Coconut', 'Salty Caramel', 'Osmanthus', 'Seaweed / Algae', 'Cinnamon', 'Musk']"
choice-power,The Body Shop,Choice Power was created for the seductive and engaging woman  who knows that her sensuality goes far beyond the body and uses it as a form of empowerment.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Gourmand,"['Peony', 'Lychee', 'Salty Caramel', 'Ginger Flower', 'Dog Rose', 'Almond', 'Bergamot', 'Patchouli', 'Plum', 'Saffron', 'Sandalwood', 'Sour Cherry']"
bomb-purple,O Boticário,Create the unexpected and leave a delicious trail! Egeo Purple Bomb is a fun and exciting scent that allows you to enjoy the possibilities  to live like there was no tomorrow. Egeo Purple Bomb is irresistible and perfect to tempt those around you!,,AMBERY (ORIENTAL),CITRUS,Amber Fresher Gourmand,"['Vanilla', 'Plum', 'Salty Caramel', 'Amber', 'Lemon', 'Tangerine', 'Cedarwood', 'Coffee Blossom', 'Jasmine', 'Musk', 'Orange Blossom', 'Orchid', 'Patchouli', 'Pear']"
amburana-ao-sol,L'Occitane,L'Occitane au Brésil reveals the beauty of the Amburana tree in the evening light to create a sophisticated fragrance.,,AMBERY (ORIENTAL),CITRUS,Amber Fresher Gourmand,"['Amber', 'Rose Damascena', 'Salty Caramel', 'Tonka Bean', 'Vanilla', 'Lemon', 'Mandarin', 'Apple', 'Cashmeran (Woody musky)', 'Jasmine', 'Patchouli', 'Pear', 'Sandalwood', 'Violet', 'Ylang-ylang']"
q-by-dolce-gabbana-eau-de-parfum,Dolce & Gabbana,Passion. Power. Strength: This is Q by Dolce & Gabbana. A woody  fruity fragrance worthy of the strength and charisma of a true queen.,Eau de Parfum,FLORAL,FRUITY,Floral Crisp Fruity,"['Cherry', 'Lemon', 'Cedarwood', 'Jasmine', 'Heliotrope', 'Blood Orange', 'Moss', 'Musk']"
loubidoo,Christian Louboutin,What good luck! Wherever you are  this lucky cat will bring you good fortune! Tiptoeing on velvet paws  it blends straightforward simplicity with opulence. Loubidoo is a fragrance with a high mischievousness content.,Eau de Parfum,FLORAL,FRUITY,Floral Classical,"['Rose Damascena', 'Strawberry', 'Cedarwood', 'Rose Centifolia', 'Mandarin', 'Musk', 'Ambrox (Ambergris)']"
green-wood,Dsquared2,A free-spirited and sensory experience that tells everything about you and your personality. It is the most intimate and distinctive element  which makes you recognizable and different in a non-descriptive way. We like to think of Green Wood as a personal accessory that defines the style and character of Dsquared2.,Eau de Toilette,WOODY,CITRUS,Woods Fresher,"['Cypriol / Nagarmota', 'Vetiver', 'Santolina', 'Cedarwood', 'Ambrox (Ambergris)', 'Lemon', 'Musk', 'Resins', 'Pepper (Madagascar)']"
rose-milano-1,Armani Privé,A fragrance of contrasts where delicacy and audacity come face to face  Rose Milano is a tribute to Milanese elegance  offering a new interpretation of the rose. While the enveloping petal aromas of rose absolute are lifted by earthy  smoky notes of patchouli and moss  they are softened by sublime fruity notes.,Eau de Toilette,CHYPRE,FLORAL,Mossy Woods Classical,"['Rose (Turkey)', 'Patchouli', 'Musk', 'Jasmine', 'Ambergris', 'Bergamot', 'Lemon', 'Pear']"
roma-uomo-green-swing,Laura Biagiotti,Roma Uomo Green Swing is the fragrance that Laura Biagiotti dedicates to men's active lifestyle.,Eau de Toilette,WOODY,CITRUS,Woods Crisp,"['Cedarwood', 'Vetiver', 'Geranium', 'Bergamot', 'Cashmeran (Woody musky)', 'Cardamom', 'Quince', 'Tonka Bean', 'Violet Leaves']"
classique-eau-de-parfum-airlines-2020-3,Jean Paul Gaultier,Now boarding  Classique Eau de Parfum Airlines is a fragrance built on a fabric softener; clean and fresh like an impeccable tank top that you slip into - because a tank top is always sexy.,Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Citrus,"['Orange Blossom', 'Jasmine (Sambac)', 'Vanilla', 'Rose (Bulgaria)', 'Lily Of The Valley', 'Narcissus', 'Orchid', 'Ylang-ylang', 'Amber', 'Lemon Zest', 'Mandarin', 'Rum', 'Star Anise', 'Tonka Bean', 'Ginger', 'Papyrus', 'Sandalwood']"
citron-28-1,Le Labo,This complex composition is dedicated to Seoul  an alpha city  one of the iconic capitals of the world. A city with its own contradictions  rooted in tradition and history yet at the forefront of all that is modern and forward thinking. Opposing forces that only a bohemian citrus can embrace.,,FLORAL,CITRUS,Floral Fresher Citrus,"['Jasmine', 'Lemon', 'Musk', 'Cedarwood', 'Ginger']"
scandal-gold,Jean Paul Gaultier,Exclusive to the Middle East  Scandal Gold is a love letter from Jean Paul Gaultier to the region  and an olfactory interpretation of the captivating spirit  mystery  and charm of the lands.,Eau de Parfum,CHYPRE,LEATHER,Mossy Woods Classical,"['Patchouli', 'Saffron', 'Jasmine', 'Sandalwood', 'Rose', 'Cypriol / Nagarmota', 'Honey', 'Ylang-ylang', 'Benzoin', 'Pink Pepper']"
scandal-noel-collector-2020,Jean Paul Gaultier,Turn over Scandal's collector's edition snow globe: beneath the glitter appears the iconic flask  dressed in a gradient metallic red. Scandal is an overdose of fun  a unique kind of women's perfume. An addiction that is so Jean Paul Gaultier!,Eau de Parfum,CHYPRE,GOURMAND,Mossy Woods Fresher Gourmand,"['Patchouli', 'Honey', 'Gardenia', 'Vanilla', 'Blood Orange']"
rose-milano-soie-de-nacre,Armani Privé,Rose Milano Soie de Nacre is a unique edition of the original couture fragrance imagined by Giorgio Armani as a tribute to Milan  a city that is more than an emblem of fashion  it is the home of Giorgio Armani's fashion. Through this signature fragrance  he wanted to encapsulate his vision of Milanese elegance  at once raw and refined.,,CHYPRE,FLORAL,Mossy Woods Classical,"['Rose (Turkey)', 'Patchouli', 'Musk', 'Jasmine', 'Ambergris', 'Bergamot', 'Lemon', 'Pear']"
k-by-dolce-gabbana-eau-de-parfum,Dolce & Gabbana,K by Dolce & Gabbana Eau de Parfum  offers an intimate glimpse into the heart of a modern King. Intense  magnetic  and sensual  the Eau de Parfum now unveils the full depths of his passions. Balancing strength with a heart that is always kind  he proves that he was born not only to wear his crown but also to truly own it.,Eau de Parfum,AROMATIC FOUGERE,AROMATIC FOUGERE,Aromatic Fougère Crisp Aromatic,"['Lavandin', 'Cardamom', 'Cedarwood', 'Geranium', 'Clary Sage', 'Blood Orange', 'Juniper Berries', 'Lemon', 'Allspice', 'Cypriol / Nagarmota', 'Patchouli', 'Vetiver', 'Fig Milk']"
leau-dissey-pour-homme-au-fil-de-leau-2022-1,Issey Miyake,Issey Miyake takes us on a summery journey in 2022. An invitation to follow the flow of water away from the daily grind defies every imaginable cliché: the concept combines the most cherished Mediterranean memories of Dora Baghriche  Daphné Bugey  and Marie Salamagne. Using the exquisite corpse method  each perfumer worked after the other to create a completely unique fragrance  the fruit of their combined emotions. To visually illustrate these fragrant emotions  French artist Kevin Lucbert drew the main steps of the journey using his faithful ballpoint pen  his artist’s instrument of choice which he uses incredibly poetically.,Eau de Toilette,WOODY,CITRUS,Woods Crisp,"['Salty', 'Cypress', 'Watery', 'Citruses', 'Basil', 'Fir Balsam', 'Jasmine', 'Pine Needles']"
so-scandal,Jean Paul Gaultier,She walked past me without even a second glance. A storm in just a tuxedo jacket  and her bare legs. Like an endless compass that one would follow to the end of the world.  So sexy. As she strolled by  I saw them all stop mid-sentence. A shock in slow motion. So scandal-ised!,Eau de Parfum,FLORAL,FLORAL,Floral Amber Crisp Fruity,"['Jasmine (Sambac)', 'Raspberry', 'Milk', 'Orange Blossom', 'Tuberose', 'Vanilla']"
loubidoo-rose-2023,Christian Louboutin,Fall under the spell of a rare and precious revival of Loubidoo with Loubidoo Rose. Faceted by master perfumer Daphné Bugey  this scent was inspired by a three-dimensional expression of a rose  then brought to life via the expert extractions of a centifolia rose absolute  a centifolia rose infusion sourced from the region of Grasse and an otto rose essence.This intoxicating trio bursts forth from the fragrance’s rose heart accompanied by head notes of cedar and base notes of musk that draw out the flower’s true character and reveal all the sensual secrets between its petals.,,FLORAL,WOODY,Floral Classical Rose,"['Rose Centifolia', 'Rose', 'Cedarwood', 'Incense / Olibanum', 'Musk', 'Magnolia', 'Mandarin', 'Pink Pepper', 'Sandalwood (Australia)', 'Dreamwood (Sandalwood)']"
flowerbykenzo-poppy-bouquet-eau-de-toilette-2022-1,Kenzo,With Poppy Bouquet Eau de Toilette  Kenzo Parfums explores flowers from every angle. This unique chapter takes us into a bucolic universe inspired by a morning stroll in a Japanese flower market. A natural floral addiction to let bloom on the skin.,,FLORAL,CITRUS,Soft Floral Fresher Citrus,"['Jasmine (Sambac)', 'Mandarin', 'Musk', 'Rose Damascena']"
mon-paris-dress-me-wild-2020-1,Yves Saint Laurent,Unleash your beauty instinct. Dress wild. Be wild. Go out and party. You are party animals. Like love at first sight  Mon Paris Dress Me Wild envelops the senses  intoxicates and bewitches. Isn't it time you got high on love?,,CHYPRE,FLORAL,Mossy Woods Crisp White Flower,"['Patchouli (Indonesia)', 'Orange Blossom', 'Jasmine (Sambac)', 'Moss', 'Bergamot', 'Calone (Marine)', 'Datura', 'Peony', 'Raspberry', 'Strawberry', 'Blackcurrant Bud', 'Cedarwood', 'Musk', 'Pear', 'Ambrox (Ambergris)']"
imperiale-iris-malika,Chopard,Iris Malika is a tribute to powerful women  to those who take charge of their destiny. It is an essence worthy of a queen.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Fruity,"['Iris / Orris', 'Boysenberry', 'Tonka Bean', 'Ylang-ylang', 'Rose Damascena', 'Jasmine (Grandiflorum)', 'Ylang-ylang (Madagascar)', 'Bergamot', 'Cinnamon', 'Ciste Labdanum', 'Incense / Olibanum', 'Myrrh', 'Balsam (Peru)', 'Pink Pepper', 'Raspberry', 'Benzoin (Siam)', 'Styrax', 'Woody Notes', 'Cedarwood (Virginia)', 'Patchouli (Indonesia)', 'Sandalwood (Australia)', 'Vetiver (Haiti)']"
212-heroes-for-her,Carolina Herrera,Alluring  magnetic  relentless  and forever unforgettable.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Orange Blossom', 'Raspberry', 'Sandalwood', 'Peony', 'Ambrox (Ambergris)', 'Cedarwood', 'Lemon', 'Mandarin', 'Milk', 'Jasmine (Sambac)']"
charnelle,Ladenac,This fragrance captures sensual moments experienced through small  mundane acts: the touch of lovers' hands  the thrill of a caress  when time stands still.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Classical,"['Rose (Turkey)', 'Amber', 'Sesame', 'Gardenia', 'Jasmine', 'Lily Of The Valley', 'Cashmeran (Woody musky)', 'Hazelnut', 'Musk']"
oud-gardenia,Eric Buterbaugh,Oud is reputed to be one of the most expensive types of wood in the world. Combined with Gardenia and Saffron this exquisite scent also features a white floral complex in the heart and sensual  smoky base notes.,,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp White Flower,"['Oud / Agarwood', 'Gardenia', 'Saffron', 'Sandalwood', 'Benzoin', 'Jasmine', 'Rose', 'Styrax', 'Tuberose']"
faux-semblant,Givenchy,Faux Semblant is elusive. It oscillates constantly between dusk and dawn  between the gloom of a corridor and the sumptuously lit halls of the Hôtel Particulier. He slips  dodges  hides. He constantly plays with appearances. Its complex personality is expressed in a fragrance created in chiaroscuro where orange blossom  wrapped in woody essences  reveals surprising facets. This is how we discover that this supposedly innocent flower keeps its cards close to its chest.,,WOODY,CITRUS,Woods Crisp White Flower,"['Oud / Agarwood', 'Sandalwood (Australia)', 'Orange Blossom (Morocco)', 'Angelica', 'Incense (Somalia)', 'Ciste Labdanum', 'Cumin', 'Honey', 'Leatherwood', 'Patchouli (Indonesia)']"
mon-paris-lumiere-1,Yves Saint Laurent,"Mon Paris Lumière is as hopeful as the first light of day. As joyful as that first  blissful kiss. As exhilarating as that moment when you want to cry out ""Mon Paris  je t'aime !"" from the top of the Eiffel Tower.",Eau de Toilette,FLORAL,FRUITY,Floral Crisp Fruity,"['Lotus', 'Pear', 'Musk', 'Blackcurrant', 'Datura', 'Rose Damascena', 'Jasmine (Grandiflorum)', 'Lemon', 'Moss', 'Patchouli', 'Ambrox (Ambergris)', 'Cedarwood (Virginia)']"
vanille-malika-imperiale,Chopard,Vanille Malika is the fragrance of an elegant woman of sovereign and eternal beauty.,,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"['Vanilla (Bourbon)', 'Ciste Labdanum', 'Cashmeran (Woody musky)', 'Pink Pepper', 'Vanilla (Madagascar)', 'Incense / Olibanum', 'Opoponax', 'Patchouli', 'Cedarwood', 'Lychee', 'Sandalwood']"
mon-paris-intensement,Yves Saint Laurent,Mon Paris Intensément is an intense perfume dedicated to the passionate and sensual woman. This perfume is a powerful declaration of love  and as grand as the Eiffel Tower  Mon Paris je t'aime!,Eau de Parfum,CHYPRE,FRUITY,Mossy Woods Crisp Fruity,"['Patchouli', 'Raspberry', 'Rose Centifolia', 'Pear', 'Bergamot', 'Orange', 'Blackcurrant Bud', 'Benzoin', 'Cashmeran (Woody musky)', 'Datura', 'Freesia', 'Musk', 'Peony', 'Rose Damascena']"
flowerbykenzo-poppy-bouquet,Kenzo,FlowerByKenzo Poppy Bouquet Eau de Parfum celebrates a contagious energy and the power to make the world more beautiful.,Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Fruity,"['Pear', 'Rose (Bulgaria)', 'Gardenia', 'Almond Tree', 'Jasmine', 'Mandarin']"
gardenia-antigua-1,Armani Privé,A superb celebration  Gardénia Antigua is infused with a pure  intense and sophisticated light echoing Giorgio Armani's haven of peace  Antigua Island.,Eau de Toilette,FLORAL,FLORAL,Floral Crisp Gardenia,"['Gardenia', 'Mandarin', 'Musk', 'Neroli', 'Patchouli', 'Ambrox (Ambergris)']"
blue-seduction-wave-for-men-2022-1,Banderas,A fragrance that challenges the senses and envelops you in a halo of seduction.,Eau de Toilette,AROMATIC FOUGERE,GREEN,Aromatic Fougère Fresher Citrus,"['Clary Sage', 'Lemon', 'Bergamot', 'Green Apple', 'Patchouli', 'Blackcurrant', 'Cedarwood', 'Rhubarb', 'Musk']"
mon-paris-sparkling-love-collector-edition-2020,Yves Saint Laurent,Discover the dazzling limited edition version of the classic Mon Paris Eau de Parfum with a sparkling bottle symbolising the majestic glow of the Eiffel Tower along with a bold new asymmetrically shaped lavaliere in the classic Saint Laurent Couture style making it the most spectacular collector's item to date and a perfect gift of love.,,CHYPRE,FLORAL,Mossy Woods Crisp White Flower,"['Datura', 'Rose Centifolia', 'Cashmeran (Woody musky)', 'Patchouli', 'Bergamot', 'Freesia', 'Orange', 'Peony', 'Raspberry', 'Rose Damascena', 'Blackcurrant Bud', 'Benzoin', 'Musk']"
