name,brand,detail,strong,cat1,cat2,wc,ingredients
chloe-nomade-nuit-degypte,Chloé,Nomade Nuit d’Égypte is an homage to the creator’s homeland. Born in 1921 in Alexandria  Gaby Aghion later left Egypt for France in the mid-1940s. Ever since she founded Chloé in 1952  the memories of her birthplace have continually inspired the Maison’s style.,,FLORAL,FLORAL,Floral Crisp White Flower,"['Myrrh', 'Vanilla', 'Broom', 'Kyphi Accord', 'Orange Blossom', 'Cinnamon', 'Cypriol / Nagarmota', 'Ginger', 'Opoponax']"
myrrh-kumquat,4711,The slightly spicy-sweet scent of myrrh has a special balsamic subtlety and supports the mental relaxation. The tart-sweet aroma of the Kumquat revives the spirit at the same time and thus provides an exciting combination.  This balsamic composition harmonizes the spirit and gives peace and serenity.,,CITRUS,CITRUS,Citrus Classical,"['Kumquat', 'Myrrh', 'Balsamic Notes']"
replica-by-the-fireplace-1,Maison Margiela,Marked with its provenance and period  this fragrance recreates moments and olfactive memories  triggering images that echo the collective unconscious as well as our own personal history. Snow falls; Inside  frosted window panes reflect warm flames crackling in the fireplace. Notes of grilled chestnuts mingle with the comforting scent of firewood. ‘By the Fireplace' captures the memory of a quintessential winter morning.,Eau de Toilette,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Cashmeran (Woody musky)', 'Cade', 'Chestnut', 'Guaiac Wood', 'Balsam (Peru)', 'Vanilla', 'Clove', 'Orange Blossom', 'Pink Pepper']"
wilde,Floris,Creative expressionism of individuality  freedom and self. Inspired by the gentleman himself  Oscar Wilde. Understated but with an unmistakable presence.,,AMBERY (ORIENTAL),SPICY,Soft Amber Crisp Citrus,"['Bergamot', 'Ginger', 'Sandalwood', 'Benzoin', 'Incense / Olibanum', 'Citruses', 'Marine', 'Dianthus', 'Jasmine']"
sandal-ruby,Carolina Herrera,A fragrant ode to the magnetic queen of gemstones  Sandal Ruby is a rich and elegant embodiment of the talismanic ruby. The bejewelled red fragrance captures the intense aura of true passion.,Eau de Parfum,WOODY,SPICY,Woods Classical,"['Sandalwood', 'Milk', 'Cardamom', 'Vanilla', 'Cinnamon', 'Tuberose']"
cinnamon-toast-1,Demeter Fragrance Library,Cinnamon  sugar  and all buttery. And Amazing benefits? Who knew?,,AMBERY (ORIENTAL),CITRUS,Soft Amber Crisp Gourmand,"['Cinnamon', 'Sugar']"
miss-dior-parfum,Dior,Between strength and grace  between recklessness and elegance. Miss Dior Parfum is the breath of femininity and youth according to Dior. Francis Kurkdjian  Dior Perfume Creative Director  reappropriates the initial olfactory inspiration of Miss Dior to imbue it with the spirit of today's youth.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Jasmine', 'Mandarin', 'Cedarwood (Alaska)', 'Strawberry', 'Moss', 'Patchouli']"
daisy-anniversary-limited-edition-2017,Marc Jacobs,Daisy Marc Jacobs Anniversary Edition introduces a luxurious limited edition bottle  bold and striking  it elevates this fragrance to a new level of luxury. Optimistic  beautiful and pure.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Gardenia', 'Jasmine', 'Strawberry', 'Violet', 'Grapefruit', 'Violet Leaves', 'Musk', 'Vanilla', 'Woody Notes']"
violette-macaron,Les Petits Plaisirs,A soft and delicate combination  inspired by the South of France  which reveals all your femininity.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Fruity,"['Violet', 'Almond', 'Cherry (Morello)', 'Rose', 'Vanilla']"
sa-majeste-la-rose-1,Serge Lutens,The king is dead  long live the queen! Author Marcel Proust based his Madame de Guermantes on three society women of his day. Like Proust  I went in search of the lost land of childhood. On a quest for my rose  I charmed three royals  one Turkish  one Bulgarian and one Moroccan  for the perfect ending to my regal journey.,Eau de Parfum,FLORAL,FLORAL,Floral Crisp Rose,"['Rose (Bulgaria)', 'Rose (Turkey)', 'Rose (Morocco)', 'Guaiac Wood', 'Beeswax', 'Chamomile', 'Lychee', 'Clove', 'Geranium', 'Vanilla']"
une-rose,Obvious,A frankly aromatic rose.,Eau de Parfum,FLORAL,FLORAL,Floral Crisp Rose,"['Rose (Bulgaria)', 'Mandarin', 'Pink Pepper', 'Bergamot', 'Grapefruit', 'Cardamom', 'Geranium (Egypt)']"
fantasque,Givenchy,Eccentric and unreasonable  Fantasque twirls under the bright lights of the ballroom with its sumptuous decor. Be ready to be surprised: Fantasque avoids banality. This singular spirit lives intensely  in complete freedom.,,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Oud / Agarwood', 'Rose Damascena', 'Incense (Somalia)', 'Myrrh', 'Balsam (Peru)', 'Vanilla (Bourbon)']"
ch-pasion-for-him,Carolina Herrera,"What would life be without a touch of passion? For Carolina Herrera  it's impossible to conceive. Since the creation of her fashion house in 1981  the New York designer has created a universe of fashion  fragrance and beauty that rejects boredom and celebrates joy  enthusiasm and spontaneity as vital attributes. Her fragrances for women and men  CH Passion  pay homage to that philosophy with a clear objective: to celebrate the Joy of Life that empowers us all to overcome any circumstance. ""CH Pasión fragrances are a shot of creative energy for women and men  a love letter to the colours that define our House and an exercise in optimism that invites us to be intrepid. Herrera  Creative Director.",Eau de Parfum,WOODY,AMBERY (ORIENTAL),Amber Classical,"['Myrrh', 'Sandalwood (Australia)', 'Incense (Somalia)', 'Vanilla (Madagascar)', 'Iris / Orris', 'Tonka Bean', 'Woody Notes', 'Cedarwood (Texas)', 'Amberwood', 'Pink Pepper', 'Neroli (Tunisia)']"
cuir-mythique-1,Korloff,Siberia. A fascinating ride on the Trans-Siberian railway to hunt for exceptional gemstones at the heart of Russia. A journey that left indelible traces  inspiring a bold piece that pairs a mink creation with a 23-carat yellow diamond. Cuir Mythique exudes power and animality  but also the fresh sensation of open land as far as the eye can see.,,LEATHER,WOODY,Dry Woods Classical,"['Leather', 'Smoke', 'Galbanum', 'Ginger', 'Iris / Orris', 'Ink', 'Juniper Berries', 'Mandarin', 'Pine Needles']"
bulle-de-rose-1,Les Parfums de Rosine,Bulle de RoseThe perfume  at once playful and chic  sophisticated and fiery  exudes the youthful grace and subtle elegance of a sophisticated woman. A spritz of Bulle de Rose  like a joyful burst of life  is the last step  the finishing touch before starting the day.,,FLORAL,FLORAL,Floral Crisp Rose,"['Rose (Turkey)', 'Blackcurrant', 'Patchouli', 'Bergamot', 'Elemi', 'Ambroxan (Ambergris)', 'Cypriol / Nagarmota', 'Sandalwood', 'Tomato', 'Soap Accord']"
mercedes-benz-sign-your-power,Mercedes-Benz,Assert yourself with Sign Your Power  the affirmation of self-confidence  the opportunity for each man to leave his mark and be the center of attention.,,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"['Cocoa', 'Cedarwood', 'Patchouli (Indonesia)', 'Plum', 'Cardamom', 'Cinnamon', 'Davana']"
sweet-plum,Dolores Promesas,Feminine  sensual and addictive.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Plum', 'Floral Notes', 'Sandalwood', 'White Flowers']"
gentleman-givenchy-society-extreme,Givenchy,A fragrance created for the most daring members of the Gentleman Society  always in search of adrenaline and surpassing themselves.,,WOODY,WOODY,Woods Classical,"['Iris / Orris', 'Clary Sage', 'Vetiver', 'Patchouli (Indonesia)', 'Cedarwood (Himalaya)', 'Sandalwood (Australia)', 'Coffee', 'Narcissus', 'Nutmeg', 'Pink Pepper', 'Vanilla']"
coffee-queen,Ciclo,Energised  happy  and ready for anything!,,FLORAL,FLORAL,Floral Crisp Gourmand,"['Coffee', 'Freesia', 'Vanilla', 'Gardenia', 'Solar Notes', 'Pear', 'Musk', 'Woody Notes']"
angelys-pear,Nicolaï,With a luminous beauty  a clean air  a calm and serene atmosphere  Angelys Pear perfectly illustrates the gentle atmosphere of Anjou. A fresh and sweet fragrance  with an intense heart  composed of a trail that reveals a chypre signature.,,CHYPRE,FRUITY,Mossy Woods Crisp Fruity,"['Pear', 'Patchouli', 'Bergamot', 'Oakmoss', 'Fresh Cut Grass', 'Lemon', 'Blackcurrant Bud', 'Jasmine', 'Musk', 'Rose']"
national-tide,Young Beast,Forever young.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Green,"['Orange Blossom', 'Amber', 'Fresh Cut Grass', 'Vanilla', 'Bergamot', 'Cedarwood', 'Grapefruit', 'Petitgrain']"
amber-absolute-1,Tom Ford,The purest form of amber. A rich  warm and voluptuous composition that will leave you feeling as if you are wearing an exquisite silk fabric against your skin.,Eau de Parfum,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Rich,"['Amber', 'Incense / Olibanum', 'Patchouli', 'Vanilla', 'Ciste Labdanum']"
tabac-28,Le Labo,A deeply aromatic tobacco absolute (imagine a distilled Cuban cigar) combined with a striking woody blend creates a smooth  smoky sensation. The whole creation is lively  vibrant  sensual  even decadent! And it brings another colourful graffiti to Wynwood  Miami  but this one is just for your nostrils.,,WOODY,TOBACCO,Dry Woods Classical,"['Tobacco Accord', 'Cedarwood', 'Rum', 'Oud / Agarwood', 'Guaiac Wood', 'Cardamom']"
strong-me-6,Rabanne,Strong Me comes with rum and vanilla notes. It's kind of sweet  but tough at the same time.,Eau de Parfum,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Amberwood', 'Rum', 'Vanilla', 'Plum', 'Davana', 'Benzoin']"
munich-victor,Birkholz,Birkholz presents Munich  an exclusive fragrance creation for the Douglas branch in Munich. This feel-good fragrance blends the woody freshness of Black Weed with the oriental sensuality of Secret Rendezvous. The result is a masterpiece that will keep you coming back for more.,,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"['Benzoin', 'Vanilla', 'Saffron', 'Cedarwood', 'Heliotrope', 'Musk', 'Nutmeg', 'Cinnamon', 'Jasmine', 'Orange Blossom', 'Patchouli', 'Rose', 'Sandalwood', 'Vetiver']"
orange-blossom-lavender-petitgrain,Yves Rocher,The unprecedented combination of the calming fragrance of Orange Blossom and the aromatic notes of Lavender  with the soothing accents of Petitgrain as a counterpoint  envelop you in an exquisite and relaxing caress.,,CITRUS,CITRUS,Citrus Classical,"['Lavender', 'Orange Blossom', 'Petitgrain', 'Musk', 'Bergamot']"
o-feminin,M. Micallef,Sensual  carnal and modern  this chic and bohemian fragrance is an addictive floral treat to wear all seasons.,,FLORAL,CITRUS,Floral Crisp Citrus,"['Jasmine', 'Mandarin', 'Patchouli', 'Bergamot', 'Lemon', 'Orange Blossom', 'Rose', 'Neroli', 'Petitgrain', 'Pink Pepper', 'Musk', 'Sandalwood', 'Vanilla']"
cristal-royal-leau,Marina de Bourbon,Crystal Royal L’Eau draws inspiration from nature  capturing the freshness and the carefree spirit of a princess in search of sparkling sensations and shivers of tenderness. A luminous fragrance  like a dive into crystal clear water.,,FLORAL,WATERY,Floral Fresher Water,"['Lotus', 'Mimosa', 'Bergamot', 'Cedarwood', 'Mate', 'Musk', 'Sandalwood', 'Violet Leaves', 'Black Pepper']"
metallique,Tom Ford,Forged with elegant brilliance  Metallique mesmerizes its admirers with a pulsating flash of modern  resolute femininity; willful  luminous and in full bloom. Sexy  powerful and concentrated  full of high wattage sophistication that gleams with a scintillating seduction ensuring Metallique shines on.,Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Soft Floral Rich,"['Heliotrope', 'Pink Pepper', 'Tolu Balsam', 'Lily Of The Valley', 'Hawthorn', 'Aldehyde', 'Bergamot', 'Musk', 'Petitgrain', 'Sandalwood', 'Ambrette Seed', 'Vanillin (Vanilla note)']"
source-of-life-man,Replay,A tribute to planet Earth and the beauty of its elements. A fragrance that captures the essence of wet earth notes and gives your senses a vital and invigorating experience. The perfect fragrance for the man who wants to bring a spark of energy into his daily routine.,,WOODY,CITRUS,Woods Fresher,"['Cedarwood (Virginia)', 'Lavandin', 'Peppermint', 'Cardamom', 'Cinnamon', 'Elemi', 'Balsamic Notes', 'Vanillin (Vanilla note)']"
daisy-wild,Marc Jacobs,Embark on an outdoors adventure with Daisy Wild  a bold and feminine fragrance that inspires you to reconnect with nature and embody your young  free-spirited self.,,FLORAL,CITRUS,Floral Fresher Green,"['Jasmine', 'Banana Flower', 'Vetiver', 'Macadamia', 'Sandalwood']"
villa-sorrento,La Perla,A splash at Villa Sorrento instantly transports you to an unforgettable summer on the sunny shores of Amalfi. As you rest languidly in the shade of the villa's stone walls  you are mesmerised by the natural beauty of your luxury getaway.,,CITRUS,GREEN,Citrus Crisp,"['Mandarin (green)', 'Neroli', 'Amber', 'Blood Orange', 'Grapefruit', 'Lemon', 'Petitgrain', 'Musk', 'Orange Blossom']"
jasmin-3,Molinard,The delicate  lush Jasmine invites us back to the gardens of our childhood. The unique  powdery vase is orchestrated around this poetic flower.,,FLORAL,FLORAL,Floral Classical Jasmine,"['Jasmine', 'Orange Blossom', 'Musk', 'Rose', 'Clove', 'Lemon', 'Sandalwood']"
oud-alezan,Hermès,A few years ago  motivated by a desire to overcome her innate fear of horses  Hermès perfumer Christine Nagel went to the stables at the Saut Hermès show-jumping event. When she came to the last stall  a chestnut horse approached he and pressed its head against her face. All at once  her apprehension vanished. With its simple  direct composition  Oud Alezan recreates the emotion of her original sensation.,,WOODY,WOODY,Woods Classical,"['Oud / Agarwood', 'Rose Oxide', 'Rose Petal']"
wild-lemon,Agua De Baleares,Freshly picked lemon conveys a fresh scent that connects with the nature of the islands and their agriculture. Enjoy the sensation of being transported to the lemon groves with this perfume.,,CITRUS,CITRUS,Citrus Classical,"['Lemon', 'Musk', 'Oakmoss', 'Bergamot', 'Sandalwood', 'Violet', 'Cedarwood', 'Patchouli', 'Vetiver']"
valentino-uomo-born-in-roma-green-stravaganza,Valentino,Born in Roma Green Stravaganza takes you on a bold adventure to the cool gardens of Roma where you are free to live and express your unique ways.,,AROMATIC FOUGERE,AROMATIC FOUGERE,Aromatic Fougère Classical,"['Coffee', 'Bergamot', 'Vetiver (Haiti)']"
magnolia-au-vetiver-dhaiti,Chopard,The entrancing floral scent of Magnolia is blended with delicate Vetiver from Haiti to create a fragrance that expresses a surprising complexity.,Eau de Parfum,WOODY,GREEN,Woods Fresher Green,"['Vetiver (Haiti)', 'Magnolia', 'Pink Pepper', 'Sandalwood', 'Woody Notes', 'Violet Leaves', 'Amber']"
dance-midnight-star-2024,Shakira,An invitation for all women to shine like a star and illuminate the world with their magnetism and highlight their unique  radiant energy.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Ylang-ylang', 'Bergamot', 'Benzoin', 'Orchid', 'Raspberry', 'Mandarin', 'Musk', 'Passion Fruit', 'Peony', 'Amber', 'Sandalwood']"
orchidea-sensuale,Marcoccia,An elegant scent with exotic  addictive accords.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Orchid', 'Jasmine', 'Peach', 'Musk', 'Coconut', 'Amber', 'Vanilla']"
peach-honey,Flavia,Discover the secret and sensuality of Peach Honey  a noble combination of warm and sweet tones.,,AMBERY (ORIENTAL),FRUITY,Fruity Crisp Gourmand,"['Peach', 'Benzoin', 'Tonka Bean', 'Ciste Labdanum', 'Vanilla', 'Cardamom', 'Davana', 'Orange', 'Cashmeran (Woody musky)', 'Jasmine', 'Patchouli', 'Sandalwood', 'Styrax', 'Vetiver']"
bloom-30950,Kate Spade,A dazzling olfactory creation as captivating as a bouquet of colourful blooms.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Camellia', 'Green Apple', 'Cashmeran (Woody musky)', 'Orange Blossom', 'Ylang-ylang', 'Cedarwood', 'Lemon', 'Musk', 'Orange', 'Sandalwood']"
vibrant-musk,4711,Unique and unforgettably compelling  Vibrant Musk dives into the world of molecular perfumery and sets the stage for a special classic in the art.,,WOODY,WOODY,Woods Classical,"['Musk', 'Iso E Super (Cedarwood Note)', 'Cashmeran (Woody musky)', 'Norlimbanol (Woody ambery)', 'Cedarwood', 'Ambroxan (Ambergris)', 'Black Pepper']"
supaer-1,Aether,Supaer is one in a series of powerful elixirs that redefine contemporary perfumery as we know it. Based on a single ingredient  Iso E Super  this rich-yet-light  pleasantly bitter  woody fragrance can be worn alone or personalised for an individual edge.,,WOODY,WOODY,Woods Classical,"['Iso E Super (Cedarwood Note)', 'Menthanyl Acetate (Mint)', 'Ethyl Acetate (Fruity notes)', 'Phenyl Oxide']"
crepuscule-des-ames,Atelier des Ors,Profound dilemma. Animalic suggestion. Autumnal light. Danaë  indolent like a serpent  dancing. Chaos! Crépuscule des Âmes is the twilight of the souls and a perfume to enslave the senses.,,AROMATIC FOUGERE,SPICY,Aromatic Fougère Fresher Spicy,"['Allspice', 'Cardamom', 'Africa Stone (hyraceum)', 'Hyssop', 'Clary Sage', 'Incense / Olibanum', 'Mandarin', 'Patchouli']"
imperial-patchouli,Biotique,Imperial Patchouli is a refined  gentle fragrance with a modern  balanced scent.,,WOODY,WOODY,Woods Classical,"['Patchouli', 'Woody Notes', 'Floral Notes']"
chiffon-sorbet-2024,Escada,Chiffon Sorbet 2024 is a unique twist on the original 1993 fragrance. A fruitier composition that evokes the sun  the sea and a soft summer breeze.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Rose', 'Jasmine (Egypt)', 'Blackcurrant Bud', 'Pear', 'Raspberry', 'Praline', 'Vanilla']"
sisterland-pink-raspberry-1,Benetton,Sweet  delicate  and spontaneous. Pink Raspberry is the sweetest of your sisters. You’re hooked on her feminine bouquet of white flowers  which mixes perfectly with raspberry and the woody notes that let her personality shine through.,Eau de Toilette,FLORAL,FRUITY,Floral Crisp Fruity,"['Raspberry', 'Orange Blossom', 'Blackcurrant', 'Cedrat', 'Sandalwood', 'Freesia', 'Grapefruit', 'Neroli', 'Vetiver', 'Musk']"
eclat-darpege-mon-eclat,Lanvin,Mon Éclat opens a unique chapter of Éclat d'Arpège  created in 2002. Faithful to the codes that marked the success of its predecessor  Mon Éclat is a unique composition inspired by the key words dear to the House: love  happiness  femininity  radiance and Parisian elegance.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Jasmine', 'Apricot', 'Musk', 'Rose', 'Aloe Vera', 'Bergamot', 'Sandalwood']"
bronze-goddess-nuit-2022,Estée Lauder,Bronze Goddess Nuit explores the depths of desire as the sun sets on a private island paradise. A sensational landscape of endless beaches illuminates under the stars. The twilight is yours for the taking.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Citrus,"['Jasmine (Sambac)', 'Bergamot', 'Tonka Bean', 'Ylang-ylang', 'Lady Of The Night Flower', 'Pink Pepper', 'Cashmeran (Woody musky)', 'Coconut', 'Ambrox (Ambergris)']"
gelsomino-eau-de-parfum,Santa Maria Novella,This is the story of Cosimo III de Medici and his dear “Stufa dei Mugherini”. This is a love story: the jasmine that struck the Granduca’s senses was of a special variety  that came from Goa in 1688. More similar to a small rose than a classic jasmine  it had a special greenhouse built for it and was only propagated by Cosimo III's trusted gardeners.,,FLORAL,FLORAL,Floral Crisp Jasmine,"['Jasmine (Sambac)', 'Tangerine', 'Musk', 'Ylang-ylang', 'Bergamot', 'Pink Pepper', 'Cedarwood', 'Geranium']"
orange-blossom-1,Jenny Glow,Orange Blossom is an irresistible fragrance with a unique scent that will accompany you throughout the day.,,FLORAL,CITRUS,Floral Crisp Orange Blossom,"['Orange Blossom', 'Neroli', 'Petitgrain', 'Green Notes', 'Musk']"
six,Sterling by Sterling,Distinguish yourself with this classic woody aromatic fragrance featuring robust notes intertwined with a deep royal blend of incense and agarwood.,,WOODY,GREEN,Woods Crisp Green,"['Oud / Agarwood', 'Green Notes', 'Tobacco Leaf', 'Coffee', 'Incense / Olibanum', 'Resins']"
perfect-tobacco,S.T. Dupont,Perfect Tobacco epitomises absolute elegance and pure luxury.,,WOODY,TOBACCO,Dry Woods Classical,"['Tobacco Leaf', 'Ginger', 'Vanilla', 'Oud / Agarwood', 'Rose', 'Cinnamon']"
oud-nejma-2,Nejma,The second daughter of Nejma  Two is an oriental fragrance at the crossroads of oriental culture and the sophistication of perfume standards  a truly hedonistic elixir.,Eau de Parfum,FLORAL,FLORAL,Floral Classical Rose,"['Oud / Agarwood', 'Rose Centifolia', 'Rose (Turkey)', 'Rose', 'Ylang-ylang', 'Musk', 'Sandalwood']"
